sent packet 31, seq #1
received ack for seq #1
sent packet 32, seq #0
sent packet 32, seq #0
received ack for seq #0
sent packet 33, seq #1
sent packet 33, seq #1
received ack for seq #1
sent packet 34, seq #0
sent packet 34, seq #0
received ack for seq #0
sent packet 35, seq #1
sent packet 35, seq #1
received ack for seq #1
sent packet 36, seq #0
sent packet 36, seq #0
received ack for seq #0
sent packet 37, seq #1
sent packet 37, seq #1
received ack for seq #1
sent packet 38, seq #0
sent packet 38, seq #0
received ack for seq #0
sent packet 39, seq #1
sent packet 39, seq #1
received ack for seq #1
sent packet 40, seq #0
sent packet 40, seq #0
received ack for seq #0
sent packet 41, seq #1
sent packet 41, seq #1
received ack for seq #1
sent packet 42, seq #0
sent packet 42, seq #0
received ack for seq #0
sent packet 43, seq #1
sent packet 43, seq #1
received ack for seq #1
sent packet 44, seq #0
sent packet 44, seq #0
received ack for seq #0
sent packet 45, seq #1
sent packet 45, seq #1
received ack for seq #1
sent packet 46, seq #0
sent packet 46, seq #0
received ack for seq #0
